ID,RA,DEC,Brightness(Magnitude),Distance
8810116090530816,44.0576433714,8.3811903236,5.846,0.006727137607413709
13898789047770240,47.1616325245,8.4710717901,5.92,0.05522696678419116
5850329572710528,41.3371103173,4.7116314629,5.968,0.07366744900103912
26531765334131200,39.1579866463,12.4476359631,5.43,0.11374807511838975
